#group,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
#datatype,string,long,double,double,double,double,long,double,double,double,double,double,long,double,double,double,double,long,double,double,double,double,long,double,double,double,double,long,double,double,long,double,string,string,dateTime:RFC3339
#default,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_field,_measurement,_time
,,1,0.519783,-0.388772,-1.285033,0.289496,1,0.263067,3.219278,1.593766,7.772846,0.306902,1,0.238259,19.514925,14.051543,35.042604,1,0.290864,0.09498,0.039432,0.261061,1,0.507702,3.028015,-7.763404,13.698718,1,0.366513,0.366513,0,1,readings,mem,2021-06-25T14:31:37.608333-04:00
,,1,0.550052,-0.531969,-1.2803,0.285524,1,0.317166,3.54781,1.592469,7.75366,0.290866,1,0.11557,15.717237,13.846873,35.005645,1,0.229147,0.100863,0.039728,0.25996,1,0.484381,2.702316,-7.80484,13.673655,1,0.344399,0.344399,0,1,readings,mem,2021-06-25T14:31:47.695210-04:00
,,0,0.221994,-0.157026,-0.510146,0.111974,0,0.098668,1.240657,0.636023,3.087212,0.10125,0,0.100772,7.850782,5.448425,13.977291,0,0.100114,0.035336,0.016058,0.103428,0,0.212448,1.198152,-3.128786,5.452285,0,0.143385,0.143385,0,0.4,readings,mem,2021-06-25T14:31:57.787576-04:00
,,1,0.545316,-0.443769,-1.272276,0.277016,1,0.314685,3.510109,1.586128,7.699426,0.265501,1,0.231986,18.965501,13.582582,34.875181,1,0.272949,0.115048,0.040365,0.25784,1,0.532684,3.470177,-7.820862,13.604086,1,0.350486,0.350486,0,1,readings,mem,2021-06-25T14:32:07.874667-04:00
,,1,0.538468,-0.48389,-1.267758,0.27309,1,0.303912,3.428456,1.57883,7.664879,0.281922,1,0.263402,19.290892,13.437937,34.814223,1,0.280597,0.111687,0.04076,0.256869,1,0.518417,3.220993,-7.829441,13.569461,1,0.367259,0.367259,0,1,readings,mem,2021-06-25T14:32:17.961243-04:00
,,1,0.526714,-0.458573,-1.263884,0.268994,1,0.218842,2.906327,1.578767,7.644334,0.27818,1,0.356674,21.564118,13.442479,34.716947,1,0.30983,0.120446,0.041195,0.25596,1,0.526579,3.272266,-7.829918,13.532975,1,0.381294,0.381294,0,1,readings,mem,2021-06-25T14:32:28.048617-04:00
,,1,0.564772,-0.316962,-1.259853,0.265021,1,0.428319,4.160357,1.578651,7.606178,0.289741,1,0.433437,22.882115,13.476454,34.615477,1,0.318939,0.107366,0.041675,0.25512,1,0.530957,3.364223,-7.830956,13.497028,1,0.417889,0.417889,0,1,readings,mem,2021-06-25T14:32:38.134778-04:00
,,1,0.567572,-0.533654,-1.255241,0.261931,1,0.335727,3.600909,1.588302,7.585236,0.323445,1,0.334996,21.129548,13.516547,34.518369,1,0.322316,0.133887,0.042119,0.254266,1,0.544669,3.618009,-7.830328,13.46132,1,0.395464,0.395464,0,1,readings,mem,2021-06-25T14:32:48.221434-04:00
,,0,0.202264,-0.185382,-0.500514,0.102765,0,0.08905,1.171457,0.64249,3.018537,0.131796,0,0.091447,7.515836,5.383821,13.76076,0,0.115428,0.038573,0.01711,0.101319,0,0.198193,1.055883,-3.134255,5.367159,0,0.150411,0.150411,0,0.4,readings,mem,2021-06-25T14:32:58.308275-04:00
,,1,0.554173,-0.371794,-1.24861,0.254235,1,0.24507,3.059153,1.608944,7.527021,0.310594,1,0.120176,15.433475,13.312465,34.38572,1,0.25925,0.106074,0.042997,0.252657,1,0.486029,2.543632,-7.864292,13.402577,1,0.338821,0.338821,0,1,readings,mem,2021-06-25T14:33:08.395210-04:00
